,title,cleaned
2559,Romantik Komedi 2: Bekarlığa Veda,"Zeynep is married to Ergün and Esra is preparing herself for the marriage with Mert. Didem is the last one of her friends, who is unmarried. Because of Cem still don't pop the question; she begins to read a book: The way to marriage. Allthough she exercises all of the advices of the book on her partner Cem, everything turn out unexpectedly. Cem is a popular actor and shares the main roles with his colleague Gözde, in a movie. This is reason enough for Didem for being jealous. So, Didem and her girlfriends begin to trace him on every step, which brings forth Mert's secret stag party. The developments during the stag party afford many surprises for each partner."
2560,Romeo Akbar Walter,"Prior to the India-Pakistan war of 1971, the RAW (Research and Analysis Wing) trains an Indian banker in espionage and martial arts, and sends him to Pakistan for an undercover operation where he finds himself sinking between emotions and violence."
2561,Romeo Must Die,"Two warring gang families (one African-American, the other Chinese) maneuver for bragging rights to the Oakland, California, docks. Hang Sing and Trish O'Day uncover a trail of deceit that leaves most of the warring factions dead … or worse!"
2562,Romeo Ranjha,The movie revolves around two common boys who travel from India to Thailand for success and money. How they cheat dons in Thailand and rob. The movie is a fast paced thriller showing the fun filled bromance between Rambo and Ranjha. It will surely take you on a thrill ride full of fun and joy.
2563,Romina,A shocking assault inspires horrific violence when a group of teens encounters a girl from their school while camping in a remote spot.
2564,Ronnie Coleman: The King,"Ronnie Coleman is known as ""The King"" and for good reason. He is the 8x Mr. Olympia champion in the world of bodybuilding - sharing the world record for most Olympia wins. Now retired, he has undergone over 6 surgeries leaving him unable to walk without crutches but his desire to train like a pro bodybuilder has not dissipated. Exploring the history of his career as a bodybuilding legend and following his journey to recovery; for the first time ever discover the true man behind The King."
2565,Ronny Chieng: Asian Comedian Destroys America!,"Ronny Chieng (""The Daily Show,"" ""Crazy Rich Asians"") takes center stage in this stand-up special and riffs on modern American life and more."
2566,"Ron White: If You Quit Listening, I'll Shut Up","Ron ""Tater Salad"" White dishes out his signature brand of cynicism, riffing on sex, celebrity and the sinister habits of wild geese."
2567,Room,Jack is a young boy of 5 years old who has lived all his life in one room. He believes everything within it are the only real things in the world. But what will happen when his Ma suddenly tells him that there are other things outside of Room?
2568,Room for Rent,"When a reclusive man-child convinces his parents to rent their spare room to save from downsizing, a stranger with a hidden agenda moves in."
2569,Room on the Broom,"Animated film based on the wonderful children's picture book written by Julia Donaldson and illustrated by Axel Scheffler. The story of a kind witch who invites a surprising collection of animals to join her on her broom, much to the frustration of her cat. The gang ultimately saves the witch from a fearsome dragon, and in gratitude she rewards them with a magnificent new broom which has room for everyone.  A magical tale about friendship and family from Magic Light Pictures, the producers of the hugely successful The Gruffalo and The Gruffalo's Child."
2570,Roped,A star cowboy in a traveling rodeo gets thrown off course when he falls in love with the daughter of a tough-minded town councilman.
2571,Rory Scovel Tries Stand-Up for the First Time,"Comedian Rory Scovel storms the stage in Atlanta, where he shares unfocused thoughts about things that mystify him, relationships and the ""Thong Song."""
2572,Rowdy Rathore,"A small-time thug comes across a young girl who claims him to be her father, following which he realizes he has a lookalike who's being hunted by goons."
2573,"Roxanne, Roxanne","The most feared battle emcee in early-'80s NYC was a fierce teenager from the Queensbridge projects with the weight of the world on her shoulders. At age 14, hustling the streets to provide for her family, Roxanne Shanté was well on her way to becoming a hip-hop legend."
2574,Rubaru Roshni,"The movie traces three real-life incidents that took place in '80s, 90s and 2000s respectively through the stories titled 'Orphan and the Convict', 'The Farmer and the Nun' and 'The Terror and the Mom'."
2575,#Rucker50,"The celebratory explosion of basketball history makers, legend shakers and lawbreakers; juxtaposed against important events in Civil & Human Rights. The 50 years of The Rucker's ripples reverberate throughout Basketball, Hip-Hop, Harlem, and life."
2576,Rudy Habibie,"Storyline about a young visioner from Indonesia: Rudy Habibie, before he would known as technocrat and 3rd president of Indonesia: BJ Habibie."
2577,Rugrats Go Wild,"The Rugrats family vacation takes an exotic detour when their boat capsizes and they become shipwrecked on a deserted tropical island. With the jungle as their new backyard, the babies race wildly from one dangerous adventure to the next...soon to discover that someone else is on the island. It's The Wild Thornberrys...on an island adventure of their own! When these two famailies get together, the excitement really starts!"
2578,Rugrats in Paris: The Movie,"The Rugrats are back! There's Tommy the brave one, Chuckie the timid one, Phil and Lil the odd couple, Dil, and spoiled brat Angelica. This time they're wreaking havoc in Paris, France, where Tommy's dad Stu is summoned after yet another one of his inventions took a dump."
2579,Rukh,"Away from home in a boarding school, 18-year-old Dhruv is ignorant about the ongoing crisis in his family. His life takes an unexpected turn as he gets the news of his father’s death in a car accident. As he copes with the tragedy, hidden truths begin to unravel. Even as his mother Nandini struggles to shield him, Dhruv starts looking for answers. Was his father's death an accident or a premeditated murder? The search leads to a series of unexpected revelations, as he discovers the shades of his father’s personality he had never seen before."
2580,Rumble,Rumble revolves around an aging and injured former MMA champ (Gary Daniels) who is forced back into a deadly Mexican underground fight circuit to save is girlfriend (Sissi Fleitas) who is kidnapped by a mysterious cartel leader and criminal mastermind.
2581,Running for Grace,"An orphan boy of mixed race finds family with the newly arrived white village doctor in Hawaii. The boy can run like the wind, and begins bringing Doc's medicine to coffee pickers throughout the mountainous region. On an errand, the medicine runner meets the daughter of the plantation owner and a forbidden, young love blossoms like the white ""Kona Snow"" of the surrounding coffee trees."
2582,Running Out of Time,Newly widowed Brenda Harper and her family are taken hostage over something from her late husband's past.
2583,Running Shaadi,"Two friends, Ram Bharose and tech genius Cyberjeet, create a website that helps lovers to elope. The site is an instant hit; young couples line up for the opportunity to escape strict families and run away with the ones they love."
2584,Rush: Beyond the Lighted Stage,"An in-depth look at the Canadian rock band Rush, chronicling the band's musical evolution from their progressive rock sound of the '70s to their current heavy rock style"
2585,Russell Brand: Re:Birth,Russell ruminates on the state of the world and reflects how life has changed since he became a father.
2586,Russell Howard: Recalibrate,"Self-deprecating comic Russell Howard plows ahead through politics, porn, social media and his own shortcomings. Yet he somehow keeps it positive."
2587,Russell Peters: Almost Famous,"The comic comes home to Toronto to sound off on cultural quirks, furniture building and bathroom visits, reveling in all things ridiculously human."
2588,Russell Peters: Notorious,"Now watch comedy rockstar, Russell Peters up-close and personal with his new act and his trademark lightening fast improv with all new material as part of his Notorious World Tour 2013."
2589,Rustom,"Rustom Pavri, an honourable officer of the Indian Navy shoots his friend Vikram  to death after discovering that his wife Cynthia had an affair with the rich businessman. The Commander surrenders himself to the Police immediately and admits to have killed Vikram but pleads 'not guilty' in court. Is he convicted or acquitted?"
2590,Ryan Hamilton: Happy Face,"Small-town import Ryan Hamilton charms New York with folksy comic observations on big-city life, hot-air ballooning and going to Disney World alone."
2591,Saadey CM Saab,"The film centers on three friends who dislike politics, and the problems when one (Harbhajan Mann) becomes chief minister."
2592,Saath Saath,The story is about a simple man with high moral values. Avinash (Farookh Shekh) is a poor but self respected guy. His policy is to earn while you learn. He excels in his studies and wishes for an idealistic society to live in. He wants to change the world with truth and simplicity. Movie has beautiful Gazals from Jagjit Singh and Chitra Singh
2593,Saavat,The journey of a woman who overcomes her personal anguish to help deliver justice to another woman trapped in a web of deceit and deception.
2594,Saawan,"A handicapped 9-year old boy who lives in a valley in the mountains of Balochistan is rejected by his father, intimidated by society, harassed by friends and left alone due to his disability. Strengthened by memories and dreams of the love of his mother, he begins a perilous journey back to his family in the main city."
2595,Sabrina,"Maira lives happily with Aiden, a doll maker and toy company owner. But Vanya, their adopted daughter and Aiden's niece, is still dealing with the loss of her birth mother. After Vanya plays Charlie's Pencil to summon her late mother, strange things begin to happen."
2596,Sadece Sen,The passionate love between a former boxer and a beautiful blind woman.
2597,Sad Hill Unearthed,"Film fans work to restore the set of the climatic graveyard scene from the iconic spaghetti western “The Good, the Bad and the Ugly,” directed by Sergio Leone in 1966."
2598,Sadie's Last Days on Earth,Everything in high school is like the world ending and Sadie Mitchell's crippling fear of the coming apocalypse is the heightened version of that.
2599,Sadma,"A head injury causes a woman to regresses to childhood. Lost and confused, she is eventually befriended by a school teacher."
2600,Sahara,A young cobra and his scorpion best friend go on a journey across the Sahara desert to save a new-found love.
2601,Sairat,"Although Parsha is the cricket team captain and the brightest student in his year, the beautiful and confident Aarchi is out of his reach. She belongs to a higher caste, her family is rich, and her father is a kingpin in local politics. But Aarchi is a headstrong girl who won’t let anyone boss her around – and she likes the persistent, brave Parsha. How will their families react? What happens to love when when two people have to sacrifice everything for it? Beyond the glamour of Bollywood, Sairat is an epic love story that takes a critical look at Indian society in the 21st century."
2602,Salaakhen,"Separated by tragedy, two virtually inseparable childhood friends meet again, only to fall in love this time."
2603,Salaam Kashmier,"Salaam Kashmir revolves around two men - Tomy Eeppan Devassy and Sreekumar. Jayaram plays Sreekumar, a character who does all the domestic work expected from a wife in normal course. Into this peaceful world enters Tomy (Suresh Gopi) disrupting the domestic bliss and bringing out an unexpected twist."
2604,Saladin the Victorious,"Saladin, the first sultan of Egypt and Syria, leads the Muslim military campaign against the invading Christians from Europe during the Third Crusade."
2605,Salam - The First ****** Nobel Laureate,"Salam is a feature length documentary about the Nobel prize winning Pakistani physicist, Abdus Salam. The film reveals the extraordinary life of the charismatic Abdus Salam, in all its color, vitality and tragedy. It is the story of a man who traversed two worlds with ease: one of science and religion, modernity and tradition, war and peace and obscurity and celebrity."
2606,Salem Abu Ukhtuh,"Poor young man named (Salem) works as a peddler, take responsibility for his sister after their parents' death, as a result of the so-called people close to him and his neighbors title (Salem Abu sister). After the events of the January 25 revolution turns his life into a living hell, especially after falling into many of the problems because of thugs and police officers, and trying to overcome them."
2607,Salt,"As a CIA officer, Evelyn Salt swore an oath to duty, honor and country. Her loyalty will be tested when a defector accuses her of being a Russian spy. Salt goes on the run, using all her skills and years of experience as a covert operative to elude capture. Salt's efforts to prove her innocence only serve to cast doubt on her motives, as the hunt to uncover the truth behind her identity continues and the question remains: ""Who is Salt?"""
2608,Samantaral,"Arko returns to his 'mamarbari' (maternal uncles' house) to meet his extended family. Over there, he meets his second uncle Sujan (Parambrata Chatterjee) who is always locked in a room because of his presumed mental retardation. As Arko sees his uncle more closely, he realizes that something very wrong has happened to him and the family is hiding a secret."
2609,Samarppanam,"The murder of a young girl brings together the three central characters that develop an inexplicable bond with the victim, and amongst them. Consequences beyond their expectations await them."
2610,Sameer Abu Elneel,"Disliked for his stinginess, Samir finds his life turned upside down when he receives a windfall and launches a television channel."
2611,Same Kind of Different as Me,"International art dealer Ron Hall must befriend a dangerous homeless man in order to save his struggling marriage to his wife, a woman whose dreams will lead all three of them on the journey of their lives."
2612,Sam Kinison: Breaking the Rules,"This is a great performance. Through yelling and energetic story-telling, he talks about marriage, drugs, being arrested (thanks to his ex-wife), pleasing women, religion, and much, much more."
2613,Sam Kinison: Family Entertainment Hour,"Get ready to scream with laughter! Sam Kinison's primal scream will echo down through the comedy hall of fame summing up so much of modernity's horror and stupidity. This concert was taped at the Wiltern Theatre where Sam was joined with the Randy Hansen Band and a salacious slew of sinuous sirens, including his wife Malika. Join Sam Kinison and guests for a concert guaranteed to make you laugh 'til you cry for more - there's something for every member of the family - Sam Kinison style!"
2614,Sam Kinison: Live in Vegas,"Comedy / Music/Musical - In the town that knows no limits, Kinison gives a completely raw and uncensored performance at the very height of his career. Filled with scorching comedy, hot women and sizzling rock 'n roll, this rarely seen live show encapsulates the energy, verve and relentless brand of comedy that was unique to Kinison."
2615,Sam Kinison: The Scream Continues,"Comedy Dynamics sat down with Sam Kinison's brother, Bill, to set the record straight on the stories surrounding this legendary comedian. Including his classic performances, rare TV appearances and photos, this documentary is not to be missed by any true Sam Kinison fan! Plus, you might be surprised who else you see with Sam. He was one popular guy!"
2616,SampleThis,"A documentary that reveals how a forgotten record by the Incredible Bongo Band helped cement the foundation of hip hop when DJ Herc extended its percussion by playing them back to back, creating an anthem on the streets of the Bronx."
2617,Samudri Lootere,The king's ship has been taken over by seemingly fearless pirates! Can Bheem find the one thing that might scare them away?
2618,Sand Castle,"Set during the occupation of Iraq, a squad of U.S. soldiers try to protect a small village."
2619,Sand Storm,"A Bedouin village in Northern Israel. When Jalila's husband marries a second woman, Jalila and her daughter's world is shattered, and the women are torn between their commitment to the patriarchal rules and being true to themselves."
2620,Sandy Wexler,"When a hapless but dedicated talent manager signs his first client who actually has talent, his career finally starts to take off."
2621,Sanju,Sanju explores some of the most crucial chapters from movie star Sanjay Dutt’s dramatic and controversial real life. It gives a lowdown on his tryst with drugs and his trials and tribulations in the Arms Acts case and the 1993 Mumbai blasts.
2622,San Pietro,"This documentary movie is about the battle of San Pietro, a small village in Italy. Over 1,100 US soldiers were killed while trying to take this location, that blocked the way for the Allied forces from the Germans."
2623,Santa Claws,"It's Christmas in Paris, a time for generosity, giving and spending time with family. At least not for everyone, Adrien has to celebrate his first Christmas without his mom, and he thinks that his father is not interested in celebrating the holiday with him this year, which inspires him the idea to run away from home as Cat Noir to sing out his anger in the cold and snow. When the news of his disappearance spreads all over Paris, Adrien's friends go out searching for him while Marinette transforms as Ladybug to search the cold and snow for the boy she secretly loves. But things get worse when she accidentally causes a man dressed as Santa to get akumatized on Christmas Eve, now Ladybug and Cat Noir have to stop him before he destroys the holiday for everyone."
2624,Santa Claws_2014,"Santa is allergic to cats, so he has a policy against delivering them as gifts, but little Tommy has been SO good, and all he wants is one small kitty. Santa says OK, but instead of one, the whole litter climbs into the sack. When Santa has a major allergic reaction, the kittens have to take over and deliver the presents on time."
2625,Santa Girl,Santa's daughter gets a chance to attend college for one semester in the 'real' world before heading back to the North Pole to fulfill her duties under her father.
2626,Santa Pac's Merry Berry Day,"As Pacworlders excitedly decorate for Berry Day, Pac is saddened about missing his parents as he receives a picture ornament of them from his Aunt Spheria. The teens reminisce of their childhood Berry Day as they enjoy Christmas eggnog.  Since Berry Day is one of the happiest days of the year, Betrayus launches a plan to get rid of the day by capturing Santa Pac and his Round Deer and to possess the gifts and Berry Day decorations. All Pac wants for Berry Day is to see his parents Sunny and Zac and is overjoyed when they arrive. But, his parents tell him they want to see the tree of life in the secret location which is forbidden.  Are these Pac’s real parents or are they a trick from Betrayus and Dr. Slimestein?  Let’s hope Berry Day can be merry after all."
2627,Santo cachón,"Antonio tries to show his friend Carlos that his wife cheats on him. As he tries to make his friends see the truth, a number of different people and funny situations come up."
2628,Sarah Silverman: A Speck of Dust,"In her first comedy special post-health scare, Sarah Silverman shares a mix of fun facts, sad truths and yeah-she-just-went-there moments."
2629,Sarah's Key,"On the night of 16 July 1942, ten year old Sarah and her parents are being arrested and transported to the Velodrome d'Hiver in Paris where thousands of other jews are being sent to get deported. Sarah however managed to lock her little brother in a closet just before the police entered their apartment. Sixty years later, Julia Jarmond, an American journalist in Paris, gets the assignment to write an article about this raid, a black page in the history of France. She starts digging archives and through Sarah's file discovers a well kept secret about her own in-laws."
2630,Sarajevo,"The events in Sarajevo in June 1914 are the backdrop for a thriller directed by Andreas Prochaska and written by Martin Ambrosch, focusing on the examining magistrate Dr. Leo Pfeffer (Florian Teichtmeister) investigating the assassination of Archduke Franz Ferdinand. Trying to do his job in a time of lawlessness and violence, intrigues and betrayal, Leo struggles to maintain his integrity and save his love, Marija, and her father, prominent Serbian merchant. But the events of Sarajevo have set into motion an inescapable course of events that will escalate to become … the Great War."
2631,Sara's Notebook,"Laura has spent years looking for her sister Sara who went missing in the depths of the jungle in the Congo. Neither the NGO she works for, nor the embassy, have news on her whereabouts until a photo appears of Sara in a mining town. Apparently, Sara is being held captive by The Hawk, the fearsome rebel leader who controls the mafias behind the prized mineral coltan."
2632,Sardaar Ji,A ghost hunter uses bottles to capture troublesome spirits.
2633,Sardaarji 2,"The Return Of Sardaarji is a 2016 Punjabi film directed by Rohit Jugraj and starring Diljit Dosanjh and Sonam Bajwa in lead roles,The film will be released on 24 June 2016."
2634,Sarkar,"NRI corporate Sundar Ramasamy comes to India to vote, only to learn that his vote has already been cast. While he reclaims his right legally, it also sets in motion a chain of events that eventually lead to him entering the political fray, trying to change the system."
2635,Sarvam Thaala Mayam,"Peter who tries to find his place in the world of classical Indian music embarks on a journey that helps him evolve personally, spiritually and musically."
2636,Sarvopari Palakkaran,"Jose, a Circle Inspector of Police, Special Branch from Trissur, Kerala, who comes from a respected and well-known conservative christian family, is on the lookout for a suitable bride who fits within his idea of an ideal woman. When he meets Lynta, he believes he has finally found the right woman and the two get engaged soon. However, he slowly realizes that he his not romantically attracted to her and to make matters worse, he finds himself attracted to Anupama Neelakantan, a social activist whom he meets during the course of investigating an abduction case. As he finds himself torn between his fiance and Anupama, he discovers the life secrets of Anupama. Whom will he marry and will he able to complete the investigation successfully forms the crux."
2637,Satan & Adam,One was a demon on guitar; the other was fresh out of school and no slouch on harmonica. SATAN & ADAM is a celebration of friendship and the blues comprised of documentary footage shot over the course of two decades.
2638,Sat Shri Akaal England,An would-be immigrant seeks a marriage partner to secure him citizenship.
2639,Sat Sri Akal,"""The movie is a humble tribute commemorating 300 years of Gurta Gaddi Diwas (Coronation) of Sri Guru Granth Sahib,"" Sahni stated and added that the movie revolves around traditional values, love, sentiments, and colossal faith towards the almighty God. ""The film tends to enlighten one on how Guru Granth Sahib is practical Guru in this modern world,"" he claimed and mentioned that for the first time, the ""true to life"" ambience of pilgrimage places like Sri Harmandar Saheb (Amritsar), Sri Hazur Saheb (Nanded) and Sri Bangla Sahib (Delhi) would be shown on 35 mm format"
2640,Satte Pe Satta,"After the passing away of their parents, Ravi Anand, the eldest of seven brothers, takes it upon himself to raise them - albeit a little wild and kinda animal-like. The brothers all sport long beards, hate taking showers/baths, and above all hate Ravi bossing them around. rest of the story is about how a look a like Ravi comes in to there life"
2641,Satyagraha,"Satyagraha is the story of a son who yearns for a father. Of a father, who grieves for his lost son. Of a young woman who fights so hard with life that she has forgotten to love. Of an ambitious rabble-rouser, for whom action is the knee-jerk mantra. It is the story of how these four discover one another, and come together to raise hell, shaking the powers that be to their very roots! But, Satyagraha is also the story of an influential power-hungry despot who will stop at nothing to destroy them."
2642,Saudi Arabia Uncovered,"Undercover cameras expose public floggings, executions and other brutality in Saudi Arabia, and introduce those risking their own lives for change."
2643,Savage Dog,"A story set in Indochina in 1959, a lawless land controlled by the criminal class: Vietnamese warlords and European war-criminals. Den-Dhin-Chan Labor Camp is run by four such dangerous men. The worst prison in the land, it is here that an Irish, former-champion boxer Martin Tillman has made a name for himself fighting tournaments, on which wealthy criminals gamble in high stakes events. When Tillman is due for release, he just wants to return home, but the corrupt forces running the jail will do everything in their power to keep him locked down. When all that Tillman holds dear is taken away in a vicious act of violence, he is forced to confront the men responsible and take his revenge. The birth of a legend."
2644,Saverio Raimondo: Il Satiro Parlante,"Italian comic and satirist Saverio Raimondo regales a Milan crowd with tales of online antics, awkward injuries and white-knuckle flights."
2645,Saving Capitalism,Former Secretary of Labor Robert Reich meets with Americans from all walks of life as he chronicles a seismic shift in the nation's economy.
2646,Saving Mr. Banks,Author P.L. Travers travels from London to Hollywood as Walt Disney Pictures adapts her novel Mary Poppins for the big screen.
2647,Saving Zoë,"Echo must deal with the regular dramas of high school, in addition to grappling with the murder of her older sister, Zoë. But when Echo receives a diary from Zoë's boyfriend, she begins to untangle the secret life her sister lived."
2648,Savita Damodar Paranjpe,The life of a married couple turns upside down after 8 years of marriage as some hard truths between them come to light. The answers to all these questions will be revealed in this psychological thriller based on true events.
2649,Saye Bahr,"This hilarious comedy is about a young man, who like many young Egyptians, is going through the day to day struggle of being unemployed. He manages to get by with odd jobs here and there until he falls in love with a conservative girl who inspires him to build a more stable life."
2650,Sayed the Servant,"While running from the law, Sayed begins to work as a house servant to a wealthy family, whose divorced daughter enlists his help in a marriage scheme."
2651,Scales: Mermaids Are Real,"Siren has lived her life thinking she's an ordinary girl, in an ordinary town. On her 12th birthday, she learns that she's far from ordinary."
2652,Scary Movie,"Following on the heels of popular teen-scream horror movies, with uproarious comedy and biting satire. Marlon and Shawn Wayans, Shannon Elizabeth and Carmen Electra pitch in to skewer some of Hollywood's biggest blockbusters, including Scream, I Know What You Did Last Summer, The Matrix, American Pie and The Blair Witch Project."
2653,Scary Movie 2,"While the original parodied slasher flicks like Scream, Keenen Ivory Wayans's sequel to Scary Movie takes comedic aim at haunted house movies. A group of students visit a mansion called ""Hell House,"" and murderous high jinks ensue."
2654,School Daze,Fraternity and sorority members clash with other students at a historically black college during homecoming weekend.
2655,School Life,The daily life of a school located in Saint Denis.
2656,Schubert in Love,Olaf tries to make his dreams reality and thereby always gets into trouble with his surroundings. He meets his biggest obstacle yet when his father pressures him into having a child. Finding a woman becomes difficult when Olaf realizes that they have something he doesn't have: feelings.
2657,Scooby-Doo on Zombie Island,"The Mystery Gang reunite and visit Moonscar Island, a remote island with a dark secret. Daphne wants more than just a villain in a costume, and they get more than they ever expected."
2658,Scott Pilgrim vs. the World,"Scott Pilgrim is a 22 year old radical Canadian wannabe rockstar who falls in love with an American delivery girl, Ramona Flowers, and must defeat her seven evil exes to be able to date her."
2659,Screwball,Investigates the MLB's infamous doping scandal involving a nefarious clinician and his most famous client: the New York Yankees' Alex Rodriguez.
2660,Screwed,"A chauffeur kidnaps his rich boss's dog to hold it for ransom, but when she accidentally gets the dog back, she thinks that it's the chauffeur who's been kidnapped."
2661,SDU: Sex Duties Unit,"The Special Duties Unit (SDU) is an elite paramilitary tactical unit of the Hong Kong Police Force and is considered one of the world's finest in its role. But being the best carries its own burdens. Like everyone else, they go through troubles with love, with family and with their jobs. And sometimes they get horny. This touching story is about Special Duties Unit Team B and their trip to Macau for a weekend of unadulterated debauchery."
2662,Seal Team Six: The Raid on Osama Bin Laden,"When the rumored whereabouts of Osama bin Laden are revealed, the CIA readies a team of seasoned U.S. Navy SEALs for the mission of a lifetime. Despite inconclusive evidence that bin Laden is inside the compound, and ignoring the possible ramifications of an unannounced attack on Pakistani soil, the Pentagon orders the attack. The SEAL Team bands together to complete their mission of justice in a riveting final showdown."
2663,Searching for Sugar Man,"Two South Africans set out to discover what happened to their unlikely musical hero, the mysterious 1970s rock 'n' roller, Rodriguez. The film won Best Documentary at the 85th Academy Awards."
2664,Search Party,Two oafs must rescue their stranded pal in Mexico.
2665,Sebastian Maniscalco: Stay Hungry,"Sebastian Maniscalco brings an acerbically unique approach to peacocks on planes, life hacks, rich in-laws and life's annoyances in this comedy special."
2666,Sebastian Maniscalco: What's Wrong with People?,"""What's Wrong with People?"" asks Sebastian Maniscalco, as he hilariously tries to bridge the Italian-American Old World he grew up in with the contemporary frenetic world we all live in today."
2667,Sebastian Maniscalco: Why Would You Do That?,Comedian Sebastian Maniscalco performs his third Showtime special at the Beacon Theatre in Manhattan.
2668,Sebastián Marcelo Wainraich,"Argentine comedian Sebastián Wainraich highlights the comedy in everyday life, from minibars to reasons why funerals are better than weddings."
2669,Secret,"Ye Xiang Lun is a music student majoring in piano who just transferred to Tamkang, a school famous for its musically talented students, especially those who play piano. On his first day of school, he hears a mysterious melody being played, and following it meets Lu Xiao Yu, another piano major. When he asks her about the song she was playing, she tells him that it is a secret that cannot be told. The two form a friendship that quickly evolves into a romantic relationship. However unbeknownst to Xiang Lun, there is more to Xiao Yu than initially meets the eye."
2670,Secret in Their Eyes,"A tight-knit team of FBI investigators, along with their District Attorney supervisor, is suddenly torn apart when they discover that one of their own teenage daughters has been brutally murdered."
2671,Secret Obsession,"Newlywed Jennifer is brutally attacked at a dark rest stop. While healing from her injuries, she can’t recall anything from her past, including the ordeal. Her husband, Russell , is just thankful she’s alive and eager to get her home. As he reintroduces her to their secluded mountain estate, Detective Page  pursues Jennifer’s assailant — his own daughter went missing and was never found. The same fate now awaits Jennifer, unless someone realizes that her loving caretaker is actually her captor."
2672,Secrets in the Hot Spring,"Xiaogin transferred to the third school during his fifth year at high school. During the winter vacation, his grandparents tricked him into returning to the hotel which was founded by his parents. Xiaogin’s classmates Little Princess and Lu Qun tagged along uninvited to escape being bullied at school.  While the three boys were temporarily staying at Xiaogin’s family hotel, they quickly found out that the hotel was in terrible shape and was also haunted. Xiaogin and his friends have developed an extremely close friendship while they are trying to step closer to the truth. Will they find out the secret that hides underneath the steaming hot springs?"
2673,Secret Superstar,"Insia Malik is a talented 15-year-old school girl from Baroda whose spirit is ripped because her mother is in a troubled and violent marriage. Of course she still dares to pursue her dream of becoming a singer and she also valiantly attempts to free her mother from her conservative, cold father."
2674,Seeing Allred,"Gloria Allred overcame trauma and personal setbacks to become one of the nation’s most famous women’s rights attorneys. Now the feminist firebrand takes on two of the biggest adversaries of her career, Bill Cosby and Donald Trump, as sexual violence allegations grip the nation and keep her in the spotlight."
2675,See You Yesterday,"Two Brooklyn teenage prodigies, C.J. Walker and Sebastian Thomas, build make-shift time machines to save C.J.'s brother, Calvin, from being wrongfully killed by a police officer."
2676,See You Yesterday_2019,Two teenagers build time machines to save one's brother from being killed by the police.
2677,Sei,A wannabe actor lands himself in trouble when he disguises as an ambulance driver to help his bed-ridden father
2678,#Selfie,A guy is addicted to social networks and the image he's showing the world through selfies. But does he still exists in real life?
2679,Selfie 69,"Your best friends are also the friends who'll make you do the stupidest things. After parting hardcore, Roxi, Yasmine and Ana meet in a bet that will change their lives: Who gets married first in three days?"
2680,Self/less,An extremely wealthy elderly man dying from cancer undergoes a radical medical procedure that transfers his consciousness to the body of a healthy young man but everything may not be as good as it seems when he starts to uncover the mystery of the body's origins and the secret organization that will kill to keep its secrets.
2681,Semana Santa,"Chávez, Dali and Pepe belong to a middle class family who spends the Easter holydays at the beach."
2682,Senna,"Senna's remarkable story, charting his physical and spiritual achievments on the track and off, his quest for perfection, and the mythical status he has since attained, is the subject of Senna, a documentary feature that spans the racing legend's years as an F1 driver, from his opening season in 1984 to his untimely death a decade later."
2683,Seoul Searching,"In the 1980s a group of foreign-born Korean teenagers who meet at a Seoul summer camp to learn what it means to be Korean. The three boys, from the U.S., Mexico, and Germany, then meet three girls who rock their world."
2684,Sergio,"Charismatic, charming and complex, Sergio Vieira de Mello was the world's go-to guy, a man who could descend into the most dangerous places, charm the worst war criminals, and somehow protect the lives of the ordinary people to whom he'd devoted his life. SERGIO tells the story of his most treacherous mission ever...a mission in which his own life hangs in the balance"
2685,Sergio_2020,"A sweeping drama set in the chaotic aftermath of the US invasion of Iraq, where the life of top UN diplomat Sergio Vieira de Mello hangs in the balance during the most treacherous mission of his career."
2686,Session 9,Tensions rise within an asbestos cleaning crew as they work in an abandoned mental hospital with a horrific past that seems to be coming back.
2687,Seth Meyers: Lobby Baby,SNL alumnus and subversive master of late-night Seth Meyers comes out from behind the desk to share some lighthearted stories from his own life.
2688,Seth Rogen's Hilarity for Charity,"Seth Rogen and friends combine stand-up, sketches and music for an outrageous comedy special that could only come from the mind of Seth. Guests include Tiffany Haddish, Sarah Silverman, Michelle Wolf, John Mulaney, Michael Che, David Chang, Ike Barinholtz, Chelsea Peretti, Kumail Nanjiani, Jon Lovitz, Jeff Goldblum, Sacha Baron Cohen, Nick Kroll, Post Malone, Chris Hardwick, and Craig Robinson & The Nasty Delicious."
2689,Sethum Aayiram Pon,"Meeting after many years, a makeup artist and her grandmother revisit tensions from an old family feud that still hangs heavy between them."
2690,Set It Up,Two overworked and underpaid assistants come up with a plan to get their bosses off their backs by setting them up with each other.
2691,Set Off,"Lao Cui, a good-for-nothing but kind-hearted man running a Chinese restaurant in Cyprus. He comes home to Beijing only to find his wife cheated on him, pregnant with his best friend's baby. Devastated, Cui's misfortune is further compounded by the news that his business partner is going to sell his restaurant. Before he flies back to Cyprus, Cui bumps into a sassy girl named Xiao Xia, and his real nightmare has only just begun ..."
2692,Settai,Three struggling room-mates unknowingly become potential prey of a ruthless gangster
2693,Setup,"A group of friends plan out a detailed heist that turns deadly when one betrays the other by taking off with the goods. Taking matters into his own hands, Sonny seeks out his revenge teaming up with the most dangerous mob boss in town to get back what is rightfully his. When he finally comes face to face with his longtime friend he will be forced to make a life changing choice."
2694,Seven in Heaven,Sixteen year old Jude discovers each and every one of his fears is true.
