,title,genres,year,type,originals,description,everything
1438,Indiana Jones and the Last Crusade,action-and-adventure,1989,movie,0,"When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana must team up with Marcus Brody, Sallah and Elsa Schneider to follow in his father's footsteps and stop the Nazis from recovering the power of eternal life.","When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana must team up with Marcus Brody, Sallah and Elsa Schneider to follow in his father's footsteps and stop the Nazis from recovering the power of eternal life. action-and-adventure"
1439,Indiana Jones and the Temple of Doom,action-and-adventure,1984,movie,0,"After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees – and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.","After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees – and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace. action-and-adventure"
1440,Indiscretion,"romance,thriller,crime,drama,mystery",2016,movie,0,A married woman's affair comes back to haunt her when her obsessed lover infiltrates every part of her life.,"A married woman's affair comes back to haunt her when her obsessed lover infiltrates every part of her life. romance,thriller,crime,drama,mystery"
1441,Inequality for All,documentary,2013,movie,0,U.S. Labor Secretary Robert Reich tries to raise awareness of the country's widening economic gap.,U.S. Labor Secretary Robert Reich tries to raise awareness of the country's widening economic gap. documentary
1442,In Family I Trust,"comedy,family",2019,movie,1,"Bea is a successful architect who lives in Barcelona (Catalonia, northeast to Spain) with her boyfriend and boss, Víctor, a CEO of an important company. During a night celebration of an important contract signed to make a skyscraper designed by Bea, in the bar appears the famous TV reporter and anchorwoman Rebecca Ramos, Victor's personal erotic fantasy. Not measuring the consequences of her actions due to the alcohol she drank, Bea makes a meeting between Víctor and Rebecca. When to the next day she wakes up, Víctor proposes to wed Bea and she accepts, but after she arrives to the job, Bea learns about a videotape where Víctor and Rebecca make the love in a car that it's in all TV channels. In front of all CEOs during a full meeting, Bea slaps Víctor and destroys her design, being fired from the job. Looking for a break, she travels her natal coastal town, Santa Clara, just to discover that her rest isn't so easy as it seems: her eccentric, free-spirited and eternal smiling mother ...","Bea is a successful architect who lives in Barcelona (Catalonia, northeast to Spain) with her boyfriend and boss, Víctor, a CEO of an important company. During a night celebration of an important contract signed to make a skyscraper designed by Bea, in the bar appears the famous TV reporter and anchorwoman Rebecca Ramos, Victor's personal erotic fantasy. Not measuring the consequences of her actions due to the alcohol she drank, Bea makes a meeting between Víctor and Rebecca. When to the next day she wakes up, Víctor proposes to wed Bea and she accepts, but after she arrives to the job, Bea learns about a videotape where Víctor and Rebecca make the love in a car that it's in all TV channels. In front of all CEOs during a full meeting, Bea slaps Víctor and destroys her design, being fired from the job. Looking for a break, she travels her natal coastal town, Santa Clara, just to discover that her rest isn't so easy as it seems: her eccentric, free-spirited and eternal smiling mother ... comedy,family"
1443,Inglourious Basterds,"action-and-adventure,drama,mystery,thriller",2009,movie,0,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.","In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers. action-and-adventure,drama,mystery,thriller"
1444,Inhuman Kiss,"drama,horror,romance",2019,movie,0,"In a far-away village, lived an innocent teenage girl, ""Sai"" who later discovered herself inheriting the curse of ""Krasue"". At night, her head would detach from her body and hunts for flesh and blood. Villagers are terrified by the deaths of their livestocks and that is when the Krasue hunt begins. ""Jerd"" a friend joined the hunt with an unknown reason while ""Noi"", the childhood friend who had just came back to the village decided to stand beside Sai despite knowing the horrifying truth.","In a far-away village, lived an innocent teenage girl, ""Sai"" who later discovered herself inheriting the curse of ""Krasue"". At night, her head would detach from her body and hunts for flesh and blood. Villagers are terrified by the deaths of their livestocks and that is when the Krasue hunt begins. ""Jerd"" a friend joined the hunt with an unknown reason while ""Noi"", the childhood friend who had just came back to the village decided to stand beside Sai despite knowing the horrifying truth. drama,horror,romance"
1445,Initial D,"action-and-adventure,comedy,drama,crime,mystery,thriller",2005,movie,0,"After winning his first competition, Takumi focuses his attention on drift racing, a sport he has unknowingly perfected while delivering tofu in his father's Toyota AE86.","After winning his first competition, Takumi focuses his attention on drift racing, a sport he has unknowingly perfected while delivering tofu in his father's Toyota AE86. action-and-adventure,comedy,drama,crime,mystery,thriller"
1446,In My Country,drama,2018,movie,0,"A teacher turns to a dubious man to raise money for her daughter's life saving surgery, a crisis that is unexpectedly catapulted to a national stage","A teacher turns to a dubious man to raise money for her daughter's life saving surgery, a crisis that is unexpectedly catapulted to a national stage drama"
1447,In Paradox,"mystery,thriller",2019,movie,0,"While being relentlessly attacked, a Man seeks to uncover a mystery and stop the unknown memories that are controlling him, only to learn the difference between reality and illusions.","While being relentlessly attacked, a Man seeks to uncover a mystery and stop the unknown memories that are controlling him, only to learn the difference between reality and illusions. mystery,thriller"
1448,Inside Man,"crime,drama,mystery,thriller",2006,movie,0,"When an armed, masked gang enter a Manhattan bank, lock the doors and take hostages, the detective assigned to effect their release enters negotiations preoccupied with corruption charges he is facing.","When an armed, masked gang enter a Manhattan bank, lock the doors and take hostages, the detective assigned to effect their release enters negotiations preoccupied with corruption charges he is facing. crime,drama,mystery,thriller"
1449,Inside Man: Most Wanted,"action-and-adventure,thriller,crime,mystery",2019,movie,0,An NYPD hostage negotiator teams up with a federal agent to rescue dozens of tourists held hostage during a 10-hour seige at the U.S. Federal Reserve.,"An NYPD hostage negotiator teams up with a federal agent to rescue dozens of tourists held hostage during a 10-hour seige at the U.S. Federal Reserve. action-and-adventure,thriller,crime,mystery"
1450,Insidious,"drama,horror,mystery,thriller,romance,fantasy",2010,movie,0,"A family discovers that dark spirits have invaded their home after their son inexplicably falls into an endless sleep. When they reach out to a professional for help, they learn things are a lot more personal than they thought.","A family discovers that dark spirits have invaded their home after their son inexplicably falls into an endless sleep. When they reach out to a professional for help, they learn things are a lot more personal than they thought. drama,horror,mystery,thriller,romance,fantasy"
1451,Internet Famous,comedy,2016,movie,0,"A group of Internet ""sensations"" compete for a tv show. Parody of the Internet.","A group of Internet ""sensations"" compete for a tv show. Parody of the Internet. comedy"
1452,Interrogation,"action-and-adventure,thriller,mystery",2016,movie,0,"After the FBI receives a threat that endangers the entire city, an interrogator and an I.T. specialist are plunged into a series of mind games with a criminal mastermind, desperately racing against time to uncover the villain's true agenda as they fight to protect thousands of lives.","After the FBI receives a threat that endangers the entire city, an interrogator and an I.T. specialist are plunged into a series of mind games with a criminal mastermind, desperately racing against time to uncover the villain's true agenda as they fight to protect thousands of lives. action-and-adventure,thriller,mystery"
1453,Interview with a Serial Killer,"documentary,crime",2008,movie,0,Documentary interview with serial killer Arthur Shawcross,"Documentary interview with serial killer Arthur Shawcross documentary,crime"
1454,In the Shadow of Iris,"thriller,mystery,drama,crime",2016,movie,1,"The sudden disappearance of a wealthy banker's wife cracks open a dizzying world of secret fetishes, desperate acts and elaborate deceptions.","The sudden disappearance of a wealthy banker's wife cracks open a dizzying world of secret fetishes, desperate acts and elaborate deceptions. thriller,mystery,drama,crime"
1455,In the Shadow of the Moon,"mystery,science-fiction,thriller,crime",2019,movie,1,"In 1988, Philadelphia police officer Thomas ""Locke"" Lockhart, hungry to become a detective, begins tracking a serial killer whose crimes defy scientific explanation. When the killer mysteriously resurfaces nine years later, Locke's obsession with finding the truth threatens to destroy his career, his family, and possibly his sanity.","In 1988, Philadelphia police officer Thomas ""Locke"" Lockhart, hungry to become a detective, begins tracking a serial killer whose crimes defy scientific explanation. When the killer mysteriously resurfaces nine years later, Locke's obsession with finding the truth threatens to destroy his career, his family, and possibly his sanity. mystery,science-fiction,thriller,crime"
1456,In the Tall Grass,"horror,drama,thriller,mystery",2019,movie,1,"After hearing a child screaming for help from the green depths of a vast field of tall grass, Becky, a pregnant woman, and Cal, her brother, park their car near a mysterious abandoned church and recklessly enter the field, discovering that they are not alone and because of some reason they are unable of escaping a completely inextricable vegetable labyrinth.","After hearing a child screaming for help from the green depths of a vast field of tall grass, Becky, a pregnant woman, and Cal, her brother, park their car near a mysterious abandoned church and recklessly enter the field, discovering that they are not alone and because of some reason they are unable of escaping a completely inextricable vegetable labyrinth. horror,drama,thriller,mystery"
1457,In This Corner of the World,"animation,anime,drama,history,family,romance",2016,movie,0,"Japan, 1943, during World War II. Young Suzu leaves her village near Hiroshima to marry and live with her in-laws in Kure, a military harbor. Her creativity to overcome deprivation quickly makes her indispensable at home. Inhabited by an ancestral wisdom, Suzu impregnates the simple gestures of everyday life with poetry and beauty. The many hardships, the loss of loved ones, the frequent air raids of the enemy, nothing alters her enthusiasm…","Japan, 1943, during World War II. Young Suzu leaves her village near Hiroshima to marry and live with her in-laws in Kure, a military harbor. Her creativity to overcome deprivation quickly makes her indispensable at home. Inhabited by an ancestral wisdom, Suzu impregnates the simple gestures of everyday life with poetry and beauty. The many hardships, the loss of loved ones, the frequent air raids of the enemy, nothing alters her enthusiasm… animation,anime,drama,history,family,romance"
1458,Into the Forest,"drama,science-fiction,thriller,mystery,horror",2016,movie,0,"In the not too distant future, two young women who live in a remote ancient forest discover the world around them is on the brink of an apocalypse. Informed only by rumor, they fight intruders, disease, loneliness & starvation.","In the not too distant future, two young women who live in a remote ancient forest discover the world around them is on the brink of an apocalypse. Informed only by rumor, they fight intruders, disease, loneliness & starvation. drama,science-fiction,thriller,mystery,horror"
1459,Into the Inferno,documentary,2016,movie,1,"Werner Herzog and volcanologist Clive Oppenheimer embark upon a global journey exploring some of the world's most mythical volcanoes in Indonesia, Ethiopia, Iceland and North Korea. Speaking with scientists and indigenous peoples alike, they seek to understand the complex and deeply rooted relationship between mankind and one of nature's greatest wonders.","Werner Herzog and volcanologist Clive Oppenheimer embark upon a global journey exploring some of the world's most mythical volcanoes in Indonesia, Ethiopia, Iceland and North Korea. Speaking with scientists and indigenous peoples alike, they seek to understand the complex and deeply rooted relationship between mankind and one of nature's greatest wonders. documentary"
1460,Intuition,"crime,thriller",2020,movie,1,"Police officer Pipa works on her first big case while simultaneously investigating her boss, who is suspected of murder. The prequel to ""Perdida"".","Police officer Pipa works on her first big case while simultaneously investigating her boss, who is suspected of murder. The prequel to ""Perdida"". crime,thriller"
1461,Inuyasha the Movie 2: The Castle Beyond the Looking Glass,"action-and-adventure,anime,animation,comedy,romance,fantasy",2002,movie,0,"With their most formidable foe vanquished, Inuyasha and his comrades begin returning to their everyday lives. But their peace is fleeting as another adversary emerges: Kaguya, the self-proclaimed princess from the Moon of Legend, hatches a plot to plunge the world into an eternal night of the full moon. Inuyasha, Kagome, Miroku, Sango and Shippou must reunite to confront the new menace.","With their most formidable foe vanquished, Inuyasha and his comrades begin returning to their everyday lives. But their peace is fleeting as another adversary emerges: Kaguya, the self-proclaimed princess from the Moon of Legend, hatches a plot to plunge the world into an eternal night of the full moon. Inuyasha, Kagome, Miroku, Sango and Shippou must reunite to confront the new menace. action-and-adventure,anime,animation,comedy,romance,fantasy"
1462,Inuyasha the Movie 3: Swords of an Honorable Ruler,"animation,fantasy,action-and-adventure,thriller,mystery",2003,movie,0,"Inuyasha and his brother, Sesshomaru, each inherited a sword from their father after his death. However, their father had a third sword, named Sounga, that he sealed away. Seven hundreds years after his death, Sounga awakens and threatens mankind's very existence. How will the children of the Great Dog Demon stop this unimaginable power?","Inuyasha and his brother, Sesshomaru, each inherited a sword from their father after his death. However, their father had a third sword, named Sounga, that he sealed away. Seven hundreds years after his death, Sounga awakens and threatens mankind's very existence. How will the children of the Great Dog Demon stop this unimaginable power? animation,fantasy,action-and-adventure,thriller,mystery"
1463,Inuyasha the Movie 4: Fire on the Mystic Island,"animation,anime,action-and-adventure,comedy,fantasy",2004,movie,0,"The mysterious island of Houraijima has reappeared after 50 years, and with its reappearance has brought the attack of four gods, the Shitoushin, who have their eyes set on the powers that protect and sustain the island. Now it's up to Inuyasha and his friends, along with Sesshoumaru, to find a way to defeat the powerful Shitoushin.","The mysterious island of Houraijima has reappeared after 50 years, and with its reappearance has brought the attack of four gods, the Shitoushin, who have their eyes set on the powers that protect and sustain the island. Now it's up to Inuyasha and his friends, along with Sesshoumaru, to find a way to defeat the powerful Shitoushin. animation,anime,action-and-adventure,comedy,fantasy"
1464,Inuyasha the Movie: Affections Touching Across Time,"animation,anime,action-and-adventure,fantasy",2001,movie,0,"InuYasha is a half-demon who was trapped in the Legendary Tree and was set free by Kagome, a girl who traveled 500 years through time. This time, both of them will have to face Menomaru, a Chinese demon whose father, known as Hyoga, came 300 years ago to invade Japan, but was stopped by InuYasha's Father. InuYasha and Kagome, along with Sango, Miroku, Shippou, Kaede and Myoga, will try to stop Menomaru in his becoming the most powerful demon ever.","InuYasha is a half-demon who was trapped in the Legendary Tree and was set free by Kagome, a girl who traveled 500 years through time. This time, both of them will have to face Menomaru, a Chinese demon whose father, known as Hyoga, came 300 years ago to invade Japan, but was stopped by InuYasha's Father. InuYasha and Kagome, along with Sango, Miroku, Shippou, Kaede and Myoga, will try to stop Menomaru in his becoming the most powerful demon ever. animation,anime,action-and-adventure,fantasy"
1465,Invader ZIM: Enter the Florpus,"animation,comedy,family,science-fiction,action-and-adventure",2019,movie,1,"ZIM discovers his almighty leaders never had any intention of coming to Earth and he loses confidence in himself for the first time in his life, which is the big break his human nemesis, Dib has been waiting for.","ZIM discovers his almighty leaders never had any intention of coming to Earth and he loses confidence in himself for the first time in his life, which is the big break his human nemesis, Dib has been waiting for. animation,comedy,family,science-fiction,action-and-adventure"
1466,Invisible,drama,2017,movie,0,"Ely is 17 years old. After school, she works few hours at a pet shop. When Ely learns that she is pregnant, her inner world explodes even though she tries to go on with her daily routine as if nothing was different. She is afraid and upset, and she knows that, whatever she decides to do, there is no turning back.","Ely is 17 years old. After school, she works few hours at a pet shop. When Ely learns that she is pregnant, her inner world explodes even though she tries to go on with her daily routine as if nothing was different. She is afraid and upset, and she knows that, whatever she decides to do, there is no turning back. drama"
1467,Invisible Essence: The Little Prince,documentary,2018,movie,0,"Antoine de Saint-Exupéry's transcendent story suggests an ethical philosophy about life and a universal code of respect for humanity. With every new generation that discovers the fable, The Little Prince's inspiring legacy is cemented.","Antoine de Saint-Exupéry's transcendent story suggests an ethical philosophy about life and a universal code of respect for humanity. With every new generation that discovers the fable, The Little Prince's inspiring legacy is cemented. documentary"
1468,IO,"science-fiction,action-and-adventure,drama,romance",2017,movie,1,"As a young scientist searches for a way to save a dying Earth, she finds a connection with a man who's racing to catch the last shuttle off the planet.","As a young scientist searches for a way to save a dying Earth, she finds a connection with a man who's racing to catch the last shuttle off the planet. science-fiction,action-and-adventure,drama,romance"
1469,Ip Man,"action-and-adventure,biography,drama,history,fantasy",2008,movie,0,"A semi-biographical account of Yip Man, the first martial arts master to teach the Chinese martial art of Wing Chun. The film focuses on events surrounding Ip that took place in the city of Foshan between the 1930s to 1940s during the Second Sino-Japanese War. Directed by Wilson Yip, the film stars Donnie Yen in the lead role, and features fight choreography by Sammo Hung.","A semi-biographical account of Yip Man, the first martial arts master to teach the Chinese martial art of Wing Chun. The film focuses on events surrounding Ip that took place in the city of Foshan between the 1930s to 1940s during the Second Sino-Japanese War. Directed by Wilson Yip, the film stars Donnie Yen in the lead role, and features fight choreography by Sammo Hung. action-and-adventure,biography,drama,history,fantasy"
1470,Ip Man 2,"action-and-adventure,biography,drama,history,sport",2010,movie,0,"Having defeated the best fighters of the Imperial Japanese army in occupied Shanghai, Ip Man and his family settle in post-war Hong Kong.Struggling to make a living, Master Ip opens a kung fu school to bring his celebrated art of Wing Chun to the troubled youth of Hong Kong. His growing reputation soon brings challenges from powerful enemies, including pre-eminent Hung Gar master, Hung Quan. However, when corrupt colonial officials stage a life-or-death contest with formidable British boxer, Twister, to humiliate the Chinese people, the masters quickly forget their differences. Soon, the eyes of the nation are on the one man capable of securing a victory-Grandmaster Ip Man!","Having defeated the best fighters of the Imperial Japanese army in occupied Shanghai, Ip Man and his family settle in post-war Hong Kong.Struggling to make a living, Master Ip opens a kung fu school to bring his celebrated art of Wing Chun to the troubled youth of Hong Kong. His growing reputation soon brings challenges from powerful enemies, including pre-eminent Hung Gar master, Hung Quan. However, when corrupt colonial officials stage a life-or-death contest with formidable British boxer, Twister, to humiliate the Chinese people, the masters quickly forget their differences. Soon, the eyes of the nation are on the one man capable of securing a victory-Grandmaster Ip Man! action-and-adventure,biography,drama,history,sport"
1471,Ip Man 3,"action-and-adventure,biography,drama,history",2015,movie,0,"When a band of brutal gangsters led by a crooked property developer make a play to take over the city, Master Ip is forced to take a stand.","When a band of brutal gangsters led by a crooked property developer make a play to take over the city, Master Ip is forced to take a stand. action-and-adventure,biography,drama,history"
1472,"I, Potro",comedy,2018,movie,0,Former Club de Cuervos player Potro returns home to Argentina to crash the wedding of his famous soccer-star brother and confront his estranged family.,Former Club de Cuervos player Potro returns home to Argentina to crash the wedding of his famous soccer-star brother and confront his estranged family. comedy
1473,Iron Man & Captain America: Heroes United,"action-and-adventure,animation,family,science-fiction,comedy,drama",2014,movie,0,"Iron Man and Captain America battle to keep the Red Skull and his triggerman, Taskmaster, from unleashing an army of Hydra Brutes on the world! Sequel to the film ""Iron Man & Hulk: Heroes United"" and feature Iron Man teaming up with Captain America, it comes to accompany the live-action film ""Captain America: The Winter Soldier"".","Iron Man and Captain America battle to keep the Red Skull and his triggerman, Taskmaster, from unleashing an army of Hydra Brutes on the world! Sequel to the film ""Iron Man & Hulk: Heroes United"" and feature Iron Man teaming up with Captain America, it comes to accompany the live-action film ""Captain America: The Winter Soldier"". action-and-adventure,animation,family,science-fiction,comedy,drama"
1474,Iron Sky The Coming Race,"action-and-adventure,comedy,fantasy,science-fiction",2018,movie,0,"Twenty years after the events of Iron Sky, the former Nazi Moonbase has become the last refuge of mankind. Earth was devastated by a nuclear war, but buried deep under the wasteland lies a power that could save the last of humanity - or destroy it once and for all. The truth behind the creation of mankind will be revealed when an old enemy leads our heroes on an adventure into the Hollow Earth. To save humanity they must fight the Vril, an ancient shapeshifting reptilian race and their army of dinosaurs.","Twenty years after the events of Iron Sky, the former Nazi Moonbase has become the last refuge of mankind. Earth was devastated by a nuclear war, but buried deep under the wasteland lies a power that could save the last of humanity - or destroy it once and for all. The truth behind the creation of mankind will be revealed when an old enemy leads our heroes on an adventure into the Hollow Earth. To save humanity they must fight the Vril, an ancient shapeshifting reptilian race and their army of dinosaurs. action-and-adventure,comedy,fantasy,science-fiction"
1475,Irreplaceable You,"comedy,drama,romance",2018,movie,1,A couple who have known each other since 8 are destined to be together until death do them apart.,"A couple who have known each other since 8 are destined to be together until death do them apart. comedy,drama,romance"
1476,I See You,"romance,comedy",2017,movie,0,Lea is a tour guide in Japan who suffered from temporary blindness and if not cured in a few weeks could be permanent. Tonyo who lives right across from Lea is persistent and determined to be her friend. They then become closer and Lea has seen the true character of Tonyo.,"Lea is a tour guide in Japan who suffered from temporary blindness and if not cured in a few weeks could be permanent. Tonyo who lives right across from Lea is persistent and determined to be her friend. They then become closer and Lea has seen the true character of Tonyo. romance,comedy"
1477,Isi & Ossi,"romance,comedy",2020,movie,1,"Isi and Ossi couldn't be any more different: She's a billionaire's daughter from Heidelberg, he's a struggling boxer from the nearby town of Mannheim. But when Isi meets Ossi, the two quickly realize that they can take advantage of one another: She dates the broke boxer to provoke her parents and get them to fund a long-desired chef training in New York. He tries to rip off the rich daughter to finance his first professional boxing match. Their plans soon develop into emotional chaos that challenges everything the two believe to know about money, career and love.","Isi and Ossi couldn't be any more different: She's a billionaire's daughter from Heidelberg, he's a struggling boxer from the nearby town of Mannheim. But when Isi meets Ossi, the two quickly realize that they can take advantage of one another: She dates the broke boxer to provoke her parents and get them to fund a long-desired chef training in New York. He tries to rip off the rich daughter to finance his first professional boxing match. Their plans soon develop into emotional chaos that challenges everything the two believe to know about money, career and love. romance,comedy"
1478,Isoken,romance,2017,movie,0,"Everyone in the Osayande family worries about Isoken. Although she has what appears to be a perfect life - beautiful, successful and surrounded by great family and friends - Isoken is still unmarried at 34 which, in a culture obsessed with marriage, is serious cause for concern. Things come to a head at her youngest sister's wedding when her overbearing mother thrusts her into an orchestrated matchmaking with the ultimate Edo man, Osaze. Osaze is handsome, successful and from a good family, making him the perfect Nigerian husband material. But in an unexpected turn of events, Isoken meets Kevin who she finds herself falling in love with and he just might be what she truly wants in a partner. The only problem is, not only is he not an Edo man, he is Oyinbo (Caucasian). Isoken is a romantic dramedy that explores cultural expectations, racial stereotypes and the bonds that unite families in a touching, dramatic and comedic way.","Everyone in the Osayande family worries about Isoken. Although she has what appears to be a perfect life - beautiful, successful and surrounded by great family and friends - Isoken is still unmarried at 34 which, in a culture obsessed with marriage, is serious cause for concern. Things come to a head at her youngest sister's wedding when her overbearing mother thrusts her into an orchestrated matchmaking with the ultimate Edo man, Osaze. Osaze is handsome, successful and from a good family, making him the perfect Nigerian husband material. But in an unexpected turn of events, Isoken meets Kevin who she finds herself falling in love with and he just might be what she truly wants in a partner. The only problem is, not only is he not an Edo man, he is Oyinbo (Caucasian). Isoken is a romantic dramedy that explores cultural expectations, racial stereotypes and the bonds that unite families in a touching, dramatic and comedic way. romance"
1479,It Comes at Night,"horror,mystery,drama,thriller",2017,movie,0,"Secure within a desolate home as an unnatural threat terrorizes the world, a man has established a tenuous domestic order with his wife and son, but this will soon be put to test when a desperate young family arrives seeking refuge.","Secure within a desolate home as an unnatural threat terrorizes the world, a man has established a tenuous domestic order with his wife and son, but this will soon be put to test when a desperate young family arrives seeking refuge. horror,mystery,drama,thriller"
1480,It's Fine,comedy,2016,movie,0,"When a beautiful belly-dancer moves into their apartment building, a group of unhappily married men strives to get her attention.","When a beautiful belly-dancer moves into their apartment building, a group of unhappily married men strives to get her attention. comedy"
1481,It's for Your Own Good,comedy,2017,movie,0,Three brothers-in-law try to get their daughters to dump their undesirable boyfriends.,Three brothers-in-law try to get their daughters to dump their undesirable boyfriends. comedy
1482,It's Now or Never,comedy,2015,movie,0,Narrates the preparation for a wedding of a Spanish couple in which everything goes wrong.,Narrates the preparation for a wedding of a Spanish couple in which everything goes wrong. comedy
1483,"It's Okay, Buddy",No info,2017,movie,0,Two down-on-their-luck singers set out to marry wealthy women -- but not everyone is happy to have them climb the social ladder.,Two down-on-their-luck singers set out to marry wealthy women -- but not everyone is happy to have them climb the social ladder. No info
1484,It Takes a Lunatic,"documentary,biography,drama",2019,movie,1,"The extraordinary life of beloved acting teacher and theatre producer Wynn Handman is recalled in this portrait of a provocative, innovative artist.","The extraordinary life of beloved acting teacher and theatre producer Wynn Handman is recalled in this portrait of a provocative, innovative artist. documentary,biography,drama"
1485,It Takes A Man And A Woman,"comedy,drama,romance",2013,movie,0,"The film follows the life of Miggy and Laida after their break-up which occurred after the events in the second film. Miggy, is now in a relationship with Belle while Laida is now a fiercer woman after living in the United States. They try to co-exist in the same company while Laida tries to oppose Miggy's business decisions through a series of events which made them realize the real definition of true love.","The film follows the life of Miggy and Laida after their break-up which occurred after the events in the second film. Miggy, is now in a relationship with Belle while Laida is now a fiercer woman after living in the United States. They try to co-exist in the same company while Laida tries to oppose Miggy's business decisions through a series of events which made them realize the real definition of true love. comedy,drama,romance"
1486,Ittefaq,"mystery,thriller,crime",2017,movie,0,"Police officer Dev investigates a double murder case that has only two witnesses - an acclaimed writer Vikram and a young homemaker Maya, who also happen to be the prime suspects in the case. He finds himself being torn between their own version's of what happened on the fateful night, and takes it upon himself to figure out the real story and capture the real murderer.","Police officer Dev investigates a double murder case that has only two witnesses - an acclaimed writer Vikram and a young homemaker Maya, who also happen to be the prime suspects in the case. He finds himself being torn between their own version's of what happened on the fateful night, and takes it upon himself to figure out the real story and capture the real murderer. mystery,thriller,crime"
1487,Ittefaq_2001,"action-and-adventure,drama,thriller",2001,movie,0,"Shiva (Sunil Shetty) is a professional hit man. Shiva accepts a contract from Jindal (Mohan Joshi) to kill Vikram (Mukul Dev). Circumstances force Shiva to come to know Mukul first, and instead of killing him, he becomes his bodyguard and protects him against Jindal and his men. Soon Shiva, Mukul, and Mukul's girlfriend Roshni Hiranandani (Pooja Batra) are on the run from Jindal's men. Jindal makes it clear that he will not rest until he sees the dead bodies of all the three. How long will they survive Jindal? Did Shiva really change his mind or is this his strategy to bring Mukul alive to Jindal?","Shiva (Sunil Shetty) is a professional hit man. Shiva accepts a contract from Jindal (Mohan Joshi) to kill Vikram (Mukul Dev). Circumstances force Shiva to come to know Mukul first, and instead of killing him, he becomes his bodyguard and protects him against Jindal and his men. Soon Shiva, Mukul, and Mukul's girlfriend Roshni Hiranandani (Pooja Batra) are on the run from Jindal's men. Jindal makes it clear that he will not rest until he sees the dead bodies of all the three. How long will they survive Jindal? Did Shiva really change his mind or is this his strategy to bring Mukul alive to Jindal? action-and-adventure,drama,thriller"
1488,I Will Follow,"drama,romance",2010,movie,0,"Chronicles a day in the life of a grieving woman, and the twelve visitors who help her move forward.","Chronicles a day in the life of a grieving woman, and the twelve visitors who help her move forward. drama,romance"
1489,Iyore,drama,2015,movie,0,"Iyore means “The Return: A Life After Life“. It is based on the history and the culture of the people of Benin, Nigeria. Iyore – a mixture of historical facts and fiction – explores a tragic love story centered on the rich culture of pre-colonial Benin through to the present day of Benin while exploring the supernatural ideas of reincarnation.","Iyore means “The Return: A Life After Life“. It is based on the history and the culture of the people of Benin, Nigeria. Iyore – a mixture of historical facts and fiction – explores a tragic love story centered on the rich culture of pre-colonial Benin through to the present day of Benin while exploring the supernatural ideas of reincarnation. drama"
1490,Jaal: The Trap,"action-and-adventure,crime,drama",2003,movie,0,Sunny Deol battles terrorists from Kashmir; from director Guddu Dhanoa.,"Sunny Deol battles terrorists from Kashmir; from director Guddu Dhanoa. action-and-adventure,crime,drama"
1491,Jaane Tu... Ya Jaane Na,"comedy,drama,romance",2008,movie,0,"Jaane Tu... Ya Jaane Na (translation: Whether you know... or not) is a 2008 Indian romantic comedy film, written and directed by Abbas Tyrewala. The film stars Imran Khan and Genelia D'Souza in pivotal roles.  Produced by Mansoor Khan, Aamir Khan, it marks the directional debut of Abbas Tyrewala, the debut of Imran Khan (Aamir Khan's nephew) and Prateik Babbar as actors, and the re-appearance of D'Souza in Hindi cinema. Released on 4 July 2008, the film received positive reviews, and went on to become a Super Hit at the box office.  The music is by A. R. Rahman.","Jaane Tu... Ya Jaane Na (translation: Whether you know... or not) is a 2008 Indian romantic comedy film, written and directed by Abbas Tyrewala. The film stars Imran Khan and Genelia D'Souza in pivotal roles.  Produced by Mansoor Khan, Aamir Khan, it marks the directional debut of Abbas Tyrewala, the debut of Imran Khan (Aamir Khan's nephew) and Prateik Babbar as actors, and the re-appearance of D'Souza in Hindi cinema. Released on 4 July 2008, the film received positive reviews, and went on to become a Super Hit at the box office.  The music is by A. R. Rahman. comedy,drama,romance"
1492,Jab Harry Met Sejal,"comedy,drama,romance",2017,movie,0,"After a month-long tour of Europe, Sejal is just about to board her flight to India, when she realises that her engagement ring is lost. In quest of the object, she hires the same tour-guide Harry  and together they set off visiting the exact same spots that she and her family visited—in the hope of finding the heirloom. Of course the journey proves to be much more…","After a month-long tour of Europe, Sejal is just about to board her flight to India, when she realises that her engagement ring is lost. In quest of the object, she hires the same tour-guide Harry  and together they set off visiting the exact same spots that she and her family visited—in the hope of finding the heirloom. Of course the journey proves to be much more… comedy,drama,romance"
